paper_name,libero_spatial,libero_spatial_prev_sota,delta_libero_spatial,P_A,Delta_necessary,Delta_sufficient,delta_bin
SaiVLA-0: Cerebrum--Pons--Cerebellum Tripartite Architecture for Compute-Aware Vision-Language-Action,99.8,98.8,0.010000000000000009,0.988,0.006,0.01,certainly_significant
"Say, Dream, and Act: Learning Video World Models for Instruction-Driven Robot Manipulation",99.4,97.6,0.018000000000000127,0.976,0.006,0.014,certainly_significant
"See, Plan, Rewind: Progress-Aware Vision-Language-Action Models for Robust Robotic Manipulation",93.2,96.4,-0.03200000000000003,0.964,0.006,0.018,negative
Shallow-π: Knowledge Distillation for Flow-based VLAs,99.0,99.0,0.0,0.99,0.006,0.01,not_significant
SimVLA: A Simple VLA Baseline for Robotic Manipulation,99.6,98.8,0.008000000000000007,0.988,0.006,0.01,possibly_significant
SmoothVLA: Aligning Vision-Language-Action Models with Physical Constraints via Intrinsic Smoothness Optimization,85.6,84.5,0.01100000000000001,0.844,0.006,0.04,possibly_significant
SnapFlow: One-Step Action Generation for Flow-Matching VLAs via Progressive Self-Distillation,99.0,98.0,0.010000000000000009,0.98,0.006,0.014,possibly_significant
Speedup Patch: Learning a Plug-and-Play Policy to Accelerate Embodied Manipulation,97.2,98.8,-0.016000000000000014,0.988,0.006,0.01,negative
ST-$π$: Structured SpatioTemporal VLA for Robotic Manipulation,98.4,98.8,-0.0039999999999998925,0.988,0.006,0.01,negative
Stable Language Guidance for Vision-Language-Action Models,98.6,96.8,0.018000000000000016,0.968,0.006,0.018,certainly_significant
StarVLA: A Lego-like Codebase for Vision-Language-Action Model Developing,97.8,97.6,0.0020000000000000018,0.976,0.006,0.014,not_significant
StarVLA-$α$: Reducing Complexity in Vision-Language-Action Systems,99.0,98.8,0.0020000000000000018,0.988,0.006,0.01,not_significant
StreamingVLA: Streaming Vision-Language-Action Model with Action Flow Matching and Adaptive Early Observation,96.6,98.8,-0.02200000000000002,0.988,0.006,0.01,negative
StreamVLA: Breaking the Reason-Act Cycle via Completion-State Gating,99.2,98.8,0.0040000000000000036,0.988,0.006,0.01,not_significant
Test-Time Perturbation Learning with Delayed Feedback for Vision-Language-Action Models,90.0,85.0,0.050000000000000044,0.85,0.006,0.038,certainly_significant
Thinking in Text and Images: Interleaved Vision--Language Reasoning Traces for Long-Horizon Robot Manipulation,97.8,97.0,0.008000000000000007,0.97,0.006,0.016,possibly_significant
Towards Long-Lived Robots: Continual Learning VLA Models via Reinforcement Fine-Tuning,98.2,98.0,0.0020000000000000018,0.98,0.006,0.014,not_significant
Towards Practical World Model-based Reinforcement Learning for Vision-Language-Action Models,87.8,86.0,0.018000000000000016,0.86,0.006,0.038,possibly_significant
TTQ: Activation-Aware Test-Time Quantization to Accelerate LLM Inference On The Fly,94.5,97.5,-0.030000000000000027,0.976,0.006,0.014,negative
Universal Pose Pretraining for Generalizable Vision-Language-Action Policies,96.5,98.8,-0.02300000000000002,0.988,0.006,0.01,negative
Unmasking the Illusion of Embodied Reasoning in Vision-Language-Action Models,96.6,99.2,-0.026000000000000023,0.992,0.006,0.008,negative
VISTA: Enhancing Visual Conditioning via Track-Following Preference Optimization in Vision-Language-Action Models,84.8,88.2,-0.03400000000000003,0.882,0.006,0.034,negative
VLA-Adapter: An Effective Paradigm for Tiny-Scale Vision-Language-Action Model,97.8,97.6,0.0020000000000000018,0.976,0.006,0.014,not_significant
VLA-GSE: Boosting Parameter-Efficient Fine-Tuning in VLA with Generalized and Specialized Experts,98.8,99.0,-0.0020000000000000018,0.99,0.006,0.01,negative
VLA-IAP: Training-Free Visual Token Pruning via Interaction Alignment for Vision-Language-Action Models,97.6,99.4,-0.018000000000000127,0.994,0.006,0.006,negative
VLA-InfoEntropy: A Training-Free Vision-Attention Information Entropy Approach for Vision-Language-Action Models Inference Acceleration and Success,86.4,85.8,0.006000000000000116,0.858,0.006,0.038,possibly_significant
VLA-JEPA: Enhancing Vision-Language-Action Model with Latent World Model,96.2,98.8,-0.025999999999999912,0.988,0.006,0.01,negative
VLA-Thinker: Boosting Vision-Language-Action Models through Thinking-with-Image Reasoning,98.7,96.8,0.019000000000000017,0.968,0.006,0.018,certainly_significant
VolumeDP: Modeling Volumetric Representation for Manipulation Policy Learning,90.7,81.1,0.09600000000000009,0.812,0.006,0.044,certainly_significant
When Vision Overrides Language: Evaluating and Mitigating Counterfactual Failures in VLAs,98.8,98.8,0.0,0.988,0.006,0.01,not_significant
World-Value-Action Model: Implicit Planning for Vision-Language-Action Systems,99.6,98.8,0.008000000000000007,0.988,0.006,0.01,possibly_significant
World2Act: Latent Action Post-Training via Skill-Compositional World Models,98.0,99.1,-0.01100000000000001,0.992,0.006,0.008,negative
WoVR: World Models as Reliable Simulators for Post-Training VLA Policies with RL,81.5,67.8,0.137,0.678,0.006,0.058,certainly_significant
Xiaomi-Robotics-0: An Open-Sourced Vision-Language-Action Model with Real-Time Execution,98.8,99.7,-0.009000000000000008,0.996,,,negative
You've Got a Golden Ticket: Improving Generative Robot Policies With A Single Noise Vector,93.4,80.4,0.13,0.804,0.006,0.044,certainly_significant
One Token Per Frame: Reconsidering Visual Bandwidth in World Models for VLA Policy,98.2,98.8,-0.006000000000000005,0.988,0.006,0.01,negative
OA-WAM: Object-Addressable World Action Model for Robust Robot Manipulation,98.9,98.8,0.001000000000000112,0.988,0.006,0.01,not_significant
PRTS: A Primitive Reasoning and Tasking System via Contrastive Representations,98.8,98.8,0.0,0.988,0.006,0.01,not_significant
TAG: Target-Agnostic Guidance for Stable Object-Centric Inference in Vision-Language-Action Models,97.8,98.0,-0.0020000000000000018,0.98,0.006,0.014,negative
Global Prior Meets Local Consistency: Dual-Memory Augmented Vision-Language-Action Model for Efficient Robotic Manipulation,99.6,98.8,0.008000000000000007,0.988,0.006,0.01,possibly_significant
VLANeXt: Recipes for Building Strong VLA Models,99.0,97.6,0.014000000000000012,0.976,0.006,0.014,certainly_significant
HBVLA: Pushing 1-Bit Post-Training Quantization for Vision-Language-Action Models,89.3,87.2,0.02100000000000002,0.872,0.006,0.036,possibly_significant
IVRA: Improving Visual-Token Relations for Robot Action Policy with Training-Free Hint-Based Guidance,97.3,97.2,0.0010000000000000009,0.972,0.006,0.016,not_significant
VAT: Vision Action Transformer by Unlocking Full Representation of ViT,98.8,97.6,0.01200000000000001,0.976,0.006,0.014,possibly_significant
Much Ado About Noising: Dispelling the Myths of Generative Robotic Control,97.6,97.2,0.0040000000000000036,0.972,0.006,0.016,not_significant
Expertise Need Not Monopolize: Action-Specialized Mixture of Experts for Vision-Language-Action Learning,99.6,96.4,0.03199999999999992,0.964,0.006,0.018,certainly_significant
3D CAVLA: Leveraging Depth and 3D Context to Generalize Vision Language Action Models for Unseen Tasks,98.2,97.6,0.006000000000000005,0.976,0.006,0.014,possibly_significant
VGGT-$\Omega$,99.3,97.6,0.017000000000000015,0.976,0.006,0.014,certainly_significant
IntentVLA: Short-Horizon Intent Modeling for Aliased Robot Manipulation,99.3,99.2,0.0010000000000000009,0.992,0.006,0.008,not_significant
BlockVLA: Accelerating Autoregressive VLA via Block Diffusion Finetuning,90.6,89.8,0.007999999999999896,0.898,0.006,0.032,possibly_significant
FrameSkip: Learning from Fewer but More Informative Frames in VLA Training,98.6,98.8,-0.0020000000000000018,0.988,0.006,0.01,negative
Realtime-VLA FLASH: Speculative Inference Framework for Diffusion-based VLAs,96.8,96.8,0.0,0.968,0.006,0.018,not_significant
"Guide, Think, Act: Interactive Embodied Reasoning in Vision-Language-Action Models",99.0,98.8,0.0020000000000000018,0.988,0.006,0.01,not_significant
DreamAvoid: Critical-Phase Test-Time Dreaming to Avoid Failures in VLA Policies,99.0,99.0,0.0,0.99,0.006,0.01,not_significant
Beyond World-Frame Action Heads: Motion-Centric Action Frames for Vision-Language-Action Models,98.6,97.6,0.010000000000000009,0.976,0.006,0.014,possibly_significant
Learning Action Manifold with Multi-view Latent Priors for Robotic Manipulation,98.8,99.4,-0.006000000000000116,0.994,0.006,0.006,negative
See What Matters: Differentiable Grid Sample Pruning for Generalizable Vision-Language-Action Model,98.6,98.4,0.0019999999999998908,0.984,0.006,0.012,not_significant
Premover: Fast Vision-Language-Action Control by Acting Before Instructions Are Complete,98.6,99.4,-0.008000000000000118,0.994,0.006,0.006,negative
From Imagined Futures to Executable Actions: Mixture of Latent Actions for Robot Manipulation,93.0,88.2,0.04800000000000004,0.882,0.006,0.034,certainly_significant
Dynamic Execution Commitment of Vision-Language-Action Models,98.6,99.1,-0.0050000000000000044,0.992,0.006,0.008,negative
ALAM: Algebraically Consistent Latent Action Model for Vision-Language-Action Models,99.2,98.8,0.0040000000000000036,0.988,0.006,0.01,not_significant
PriorVLA: Prior-Preserving Adaptation for Vision-Language-Action Models,99.4,98.8,0.006000000000000116,0.988,0.006,0.01,possibly_significant
CapVector: Learning Transferable Capability Vectors in Parametric Space for Vision-Language-Action Models,98.4,97.2,0.012000000000000122,0.972,0.006,0.016,possibly_significant
LoopVLA: Learning Sufficiency in Recurrent Refinement for Vision-Language-Action Models,95.0,98.2,-0.03200000000000003,0.982,0.006,0.012,negative
ECHO: Continuous Hierarchical Memory for Vision-Language-Action Models,98.3,98.0,0.0030000000000000027,0.98,0.006,0.014,not_significant
ElasticFlow: One-Step Physics-Consistent Policy with Elastic Time Horizons for Language-Guided Manipulation,98.4,98.8,-0.0039999999999998925,0.988,0.006,0.01,negative
ForgeVLA: Federated Vision-Language-Action Learning without Language Annotations,72.6,68.6,0.040000000000000036,0.686,0.006,0.058,possibly_significant
Failing Forward: Adaptive Failure-Informed Learning for Vision-Language-Action Models,99.8,98.8,0.010000000000000009,0.988,0.006,0.01,certainly_significant
