paper_name,simplerenv_widowx_bridge_success_rate,simplerenv_widowx_bridge_prev_sota_success_rate,delta_simplerenv_widowx_bridge_success_rate,P_A,Delta_necessary,Delta_sufficient,delta_bin
AsyncVLA: Asynchronous Flow Matching for Vision-Language-Action Models,70.8,62.5,0.08299999999999996,0.625,0.03125,0.13541666666666666,possibly_significant
BLURR: A Boosted Low-Resource Inference for Vision-Language-Action Models,71.0,70.0,0.010000000000000009,0.6979166666666666,0.03125,0.125,not_significant
Bridging Scale Discrepancies in Robotic Control via Language-Based Action Representations,35.3,26.7,0.08599999999999997,0.2708333333333333,0.03125,0.14583333333333334,possibly_significant
ContextVLA: Vision-Language-Action Model with Amortized Multi-Frame Context,70.7,59.0,0.1170000000000001,0.59375,0.03125,0.14583333333333334,possibly_significant
CronusVLA: Towards Efficient and Robust Manipulation via Multi-Frame Vision-Language-Action Modeling,60.4,61.9,-0.015000000000000013,0.6145833333333334,0.03125,0.13541666666666666,negative
DepthVLA: Enhancing Vision-Language-Action Models with Depth-Aware Spatial Reasoning,74.8,58.8,0.16000000000000003,0.5833333333333334,0.03125,0.14583333333333334,certainly_significant
Developing Vision-Language-Action Model from Egocentric Videos,27.0,23.0,0.04000000000000001,0.22916666666666666,0.03125,0.13541666666666666,possibly_significant
Dexbotic: Open-Source Vision-Language-Action Toolbox,84.4,71.9,0.125,0.71875,0.03125,0.11458333333333333,certainly_significant
Discrete Diffusion VLA: Bringing Discrete Diffusion to Action Decoding in Vision-Language-Action Policies,37.5,36.5,0.010000000000000009,0.3645833333333333,0.03125,0.16666666666666666,not_significant
Dream-VL & Dream-VLA: Open Vision-Language and Vision-Language-Action Models with Diffusion Language Model Backbone,60.4,55.5,0.04899999999999993,0.5520833333333334,0.03125,0.15625,possibly_significant
DualVLA: Building a Generalizable Embodied Agent via Partial Decoupling of Reasoning and Action,36.1,34.8,0.013000000000000012,0.34375,0.03125,0.15625,not_significant
Embodied-R1: Reinforced Embodied Reasoning for General Robotic Manipulation,56.2,53.8,0.024000000000000132,0.5416666666666666,0.03125,0.15625,not_significant
EO-1: An Open Unified Embodied Foundation Model for General Robot Control,72.7,69.2,0.03499999999999992,0.6875,0.03125,0.125,possibly_significant
Executable Analytic Concepts as the Missing Link Between VLM Insight and Precise Manipulation,86.1,58.3,0.278,0.5833333333333334,0.03125,0.14583333333333334,certainly_significant
F1: A Vision-Language-Action Model Bridging Understanding and Generation to Actions,59.4,42.7,0.16699999999999993,0.4270833333333333,0.03125,0.17708333333333334,possibly_significant
